epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.59605,1.86935,4.37498,1.52785,0.75535,0.09417,0.05784,0.03383,1.49145,3.12287,1.41884,6.312e-05,6.312e-05,6.312e-05
2,6.02813,1.49568,2.70563,1.27525,0.83564,0.14577,0.16792,0.10527,1.25348,2.34011,1.24063,0.000126293,0.000126293,0.000126293
3,9.43218,1.42986,2.09577,1.22666,0.91392,0.16771,0.25511,0.15142,1.26665,1.83291,1.24351,0.00018405,0.00018405,0.00018405
4,12.7143,1.28012,1.80301,1.15343,0.47527,0.29225,0.26889,0.17488,1.22345,1.76212,1.18765,0.000236391,0.000236391,0.000236391
5,16.0427,1.2981,1.67815,1.2482,0.48576,0.36606,0.31959,0.21002,1.23026,2.08697,1.22123,0.000283316,0.000283316,0.000283316
6,19.2982,1.1714,1.4169,1.13099,0.73748,0.42631,0.39589,0.26498,1.21464,1.51778,1.22519,0.000324826,0.000324826,0.000324826
7,22.5346,1.18036,1.46481,1.15184,0.87061,0.31279,0.45725,0.29169,1.22701,1.55571,1.22963,0.00036092,0.00036092,0.00036092
8,25.8072,1.1738,1.39258,1.18366,0.75099,0.38154,0.52104,0.32545,1.21634,1.44809,1.21865,0.000380193,0.000380193,0.000380193
9,29.0208,1.13199,1.251,1.15173,0.66257,0.51043,0.59038,0.36744,1.14171,1.14777,1.17368,0.000359363,0.000359363,0.000359363
10,32.3239,1.16499,1.14625,1.11605,0.67867,0.64376,0.64638,0.42108,1.12535,1.00381,1.17086,0.000338534,0.000338534,0.000338534
11,35.6431,1.09912,1.14503,1.1103,0.62047,0.63261,0.65892,0.41266,1.1256,1.01829,1.16946,0.000317704,0.000317704,0.000317704
12,38.5137,1.12303,1.10346,1.17047,0.88989,0.45385,0.60958,0.39995,1.11069,1.05496,1.16018,0.000296874,0.000296874,0.000296874
13,41.4387,1.05551,0.93627,1.11253,0.86161,0.49499,0.61331,0.40601,1.11703,1.01379,1.16081,0.000276045,0.000276045,0.000276045
14,44.3246,1.04185,0.84981,1.08182,0.82562,0.55,0.66837,0.45575,1.15325,0.96509,1.16295,0.000255215,0.000255215,0.000255215
15,47.5651,0.99976,0.89207,1.09963,0.67193,0.64487,0.67124,0.46442,1.15688,0.97323,1.16492,0.000234386,0.000234386,0.000234386
16,64.5253,1.0057,0.87768,1.11103,0.69156,0.56038,0.72977,0.46486,1.14338,0.92165,1.16356,0.000213556,0.000213556,0.000213556
17,67.7268,0.97899,0.85116,1.09922,0.64037,0.6553,0.72596,0.48261,1.15118,0.87858,1.17018,0.000192726,0.000192726,0.000192726
18,70.9391,0.97524,0.76195,1.0636,0.88674,0.55147,0.75331,0.50811,1.13529,0.83838,1.1519,0.000171897,0.000171897,0.000171897
19,74.2568,0.95212,0.74851,1.08367,0.56859,0.74927,0.74901,0.49871,1.10888,0.83208,1.13247,0.000151067,0.000151067,0.000151067
20,77.1508,0.92662,0.71289,1.07102,0.70554,0.67021,0.76199,0.4931,1.11322,0.83079,1.15032,0.000130238,0.000130238,0.000130238
21,80.0253,0.94659,0.71632,1.06581,0.62079,0.75813,0.77002,0.49558,1.11672,0.83957,1.15399,0.000109408,0.000109408,0.000109408
22,82.8816,0.95996,0.69629,1.0786,0.66493,0.70928,0.77528,0.50834,1.10484,0.83289,1.14267,8.85784e-05,8.85784e-05,8.85784e-05
23,86.103,0.93706,0.70095,1.06486,0.61168,0.78816,0.77501,0.51354,1.0975,0.81153,1.13383,6.77488e-05,6.77488e-05,6.77488e-05
24,89.3305,0.90708,0.66834,1.05384,0.63282,0.79915,0.74747,0.48357,1.10495,0.79915,1.13737,4.69192e-05,4.69192e-05,4.69192e-05
25,92.2417,0.90365,0.63553,1.05477,0.65463,0.80075,0.78843,0.52093,1.10663,0.76857,1.13934,2.60896e-05,2.60896e-05,2.60896e-05
